title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review,vendor_score,best_vendor_rank
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,699,3.4,350 g,18x6x12 cm,70,79,71.0,0.598825500368185,1470.0
TOOBA Women's Handicraft Beautiful Bling Box Clutch Bag,Tooba handicraft,345,3.9,300 g,17x6x11 cm,70,79,66.0,0.621916436094274,1299.0
Lavie Women's Gilter Envelope Clutch Gold Metallic Ladies Purse Handbag,Cocoblu Retail,699,4.0,100 g,85x35x115 cm,46,99,292.0,0.6574358646939757,924.0
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,699,4.3,100 g,85x35x115 cm,46,99,893.0,0.8010041409141212,70.0
Lavie Women's Bow Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,699,4.3,300 g,17x6x11 cm,46,99,763.0,0.7740051793357203,127.0
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349,4.0,300 g,18x11x6 cm,94,40,444.0,0.7809623322384198,109.0
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729,4.3,100 g,85x35x115 cm,46,99,497.0,0.7182205707586902,323.0
Fashion OVERSEAS women beaded designer clutch purse,Fashion Overseas,499,4.4,250 g,25x15x3 cm,46,99,54.0,0.636610859915021,1134.0
ADISA Beaded formal party clutch with gold chain for women and girls,Cocoblu Retail,697,3.4,300 g,2032x508x1207 cm,46,99,5.0,0.5603665035350751,1567.0
ADISA Women Girls Clutch Bag Purse Handbag Wedding Bridal,Cocoblu Retail,498,4.1,320 g,2794x508x1651 cm,46,99,341.0,0.6774842790240441,704.0
NORVE PU Embroided Stylish Fancy Women's Stones Evening Gold Chain Strap Party Clutch Wedding Bag Wallet,KWALITY BAG,499,3.8,460 g,1778x508x1016 cm,46,99,32.0,0.5945418048786762,1497.0
"Nicoberry women,s Party clutche weding purs dulhan bag",Nicoberry,990,5.0,300 g,17x6x11 cm,94,40,9.0,0.7415692711011798,224.0
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,899,4.5,350 g,18x6x12 cm,70,79,12.0,0.6517182621564857,970.0
"Shanvi Handicraft Women's Small Cutest Vintage Style Pearl Tote Wrist Bag Evening Clutch Purse, White",Shanvi handicraft,1249,4.1,300 g,17x6x11 cm,94,40,127.0,0.7051590178143291,414.0
Lavie Women's Tiana Embellished Potli | Ladies Purse Handbag,Cocoblu Retail,549,4.2,200 g,19x8x17 cm,46,99,216.0,0.6568547538927294,930.0
EXOTIC Women Clutch,UBIQUITOUSEXOTIC®,849,4.2,440 g,21x3x13 cm,70,79,263.0,0.6859979922701581,608.0
