title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,699 rupees ,3.4 out of 5,350 g,18x6x12 cm,70 hours,79 rupees ,71 ratings
TOOBA Women's Handicraft Beautiful Bling Box Clutch Bag,Tooba handicraft,345 rupees ,3.9 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,"5,281 ratings"
Lavie Women's Gilter Envelope Clutch Gold Metallic Ladies Purse Handbag,Cocoblu Retail,699 rupees ,4.0 out of 5,100 g,85x35x115 cm,46 hours,99 rupees ,292 ratings
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,699 rupees ,4.3 out of 5,100 g,85x35x115 cm,46 hours,99 rupees ,893 ratings
Lavie Women's Bow Frame Clutch Bags | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,699 rupees ,4.3 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,763 ratings
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349 rupees ,4.0 out of 5,300 g,18x11x6 cm,94 hours,40 rupees ,444 ratings
Lavie Women's Oval Frame Clutch | Detachable Chain Sling Strap | Ladies Purse Wallet,Cocoblu Retail,729 rupees ,4.3 out of 5,100 g,85x35x115 cm,46 hours,99 rupees ,497 ratings
Fashion OVERSEAS women beaded designer clutch purse,Fashion Overseas,499 rupees ,4.4 out of 5,250 g,25x15x3 cm,46 hours,99 rupees ,54 ratings
ADISA Beaded formal party clutch with gold chain for women and girls,Cocoblu Retail,697 rupees ,3.4 out of 5,300 g,2032x508x1207 cm,46 hours,99 rupees ,5 ratings
ADISA Women Girls Clutch Bag Purse Handbag Wedding Bridal,Cocoblu Retail,498 rupees ,4.1 out of 5,320 g,2794x508x1651 cm,46 hours,99 rupees ,341 ratings
NORVE PU Embroided Stylish Fancy Women's Stones Evening Gold Chain Strap Party Clutch Wedding Bag Wallet,KWALITY BAG,499 rupees ,3.8 out of 5,460 g,1778x508x1016 cm,46 hours,99 rupees ,32 ratings
"Nicoberry women,s Party clutche weding purs dulhan bag",Nicoberry,990 rupees ,5.0 out of 5,300 g,17x6x11 cm,94 hours,40 rupees ,9 ratings
TOOBA Women's Handcrafted Beautiful Bling Box Clutch Bag,Tooba handicraft,899 rupees ,4.5 out of 5,350 g,18x6x12 cm,70 hours,79 rupees ,12 ratings
"Shanvi Handicraft Women's Small Cutest Vintage Style Pearl Tote Wrist Bag Evening Clutch Purse, White",Shanvi handicraft,1249 rupees ,4.1 out of 5,300 g,17x6x11 cm,94 hours,40 rupees ,127 ratings
Lavie Women's Tiana Embellished Potli | Ladies Purse Handbag,Cocoblu Retail,549 rupees ,4.2 out of 5,200 g,19x8x17 cm,46 hours,99 rupees ,216 ratings
EXOTIC Women Clutch,UBIQUITOUSEXOTIC®,849 rupees ,4.2 out of 5,440 g,21x3x13 cm,70 hours,79 rupees ,263 ratings
DOSYSO Rhinestone Bucket Bag Mini Evening Pearl Handle Handbags Clutch For Women Drawstring Crossbody Sling Bags with Chain Strap Stylish Potli Bags Ladies Purse for Party Wedding Bling Bags,DOSYSO CREATIONS,749 rupees ,4.4 out of 5,370 g,245x18x42 cm,142 hours,40 rupees ,13 ratings
INOVERA (LABEL) Inovera Girls Utility Cross-Body Shoulder Sling Bag Clutch Purse With Adjustable Chain Strap,Opus_Retail,989 rupees ,4.3 out of 5,630 g,297x171x135 cm,46 hours,99 rupees ,308 ratings
